oid,organization,idate,county,outreachsite,activity,activityspecify,maleadult,maleyouth,femaleadult,femaleyouth,discussiontopic,flyers,brochures,posters,booklets,stickers,others
521ABBB5-3670-4DC9-8AEA-BB9D61218CBC,MSK=2,18/08/2013,SAMIA,GABUI,2=Womens Group Meetings,,4,3,12,2,IMPORTANCE FP AND IMMUNIZATION OF UNDER FIVES,0,0,0,0,0,0
E942D499-E338-4764-B14D-BBA2EEDC175E,MSK=2,12/06/2013,BUSIA,IMANI WOMEN GROUP,2=Womens Group Meetings,,0,0,19,0,FP AND MALARIA IN PREGNANCY,0,0,0,0,0,0
675903C3-5E87-4F96-BA6E-BBA92DA07693,MSK=2,21/02/2015,NAMBALE,KHWIRALE,1=Comunity Meeting/Barazas,,23,12,15,9,F/P,0,0,0,0,0,0
F32D0617-841F-4FB1-90FA-BBAA3E3CE1C2,MSK=2,15/05/2013,BUSIA,INDOLI VILLAGE,2=Womens Group Meetings,,2,0,12,0,USE AND DEMONSTRATION OF CONDOM,0,0,0,0,0,0
C9291AF7-D250-4E6F-81E5-BBAC189319B7,MSK=2,16/10/2013,TESO SOUTH,OMOJONG PR SEC,6=Other(Specify),,60,498,80,360,FP,0,0,0,0,0,0
767B6F27-0727-4B75-A108-BBAD49121B07,FHOK=1,10/05/2013,UGENYA,KANYUMBA,2=Womens Group Meetings,,5,4,12,11,FP METHODS,0,0,0,0,0,0
1738F602-F5B3-4E0C-A47E-BBAE89D53F33,MSK=2,28/04/2014,SAMIA,RUMBIYE,4=Theater Groups,,6,0,14,0,F.P,0,0,0,0,0,0
B0F1C709-2907-4D4C-9CC2-BBAF2372C4F4,MSK=2,10/08/2013,BUSIA,MISSING,2=Womens Group Meetings,,4,2,7,3,"HIV/AIDS,CONDOMS AND PILLS",0,0,0,0,0,0
42D86F60-78F9-401B-B869-BBB1735F2E1D,FHOK=1,09/06/2013,BONDO,KABUOR OMONDI,6=Other(Specify),,7,4,16,12,F/P,0,0,0,0,0,0
174F6AFD-D760-4EFC-9F63-BBB3FCA3591D,FHOK=1,16/02/2015,SIAYA,NYAJUOK,2=Womens Group Meetings,,0,0,30,0,FP,0,0,0,0,0,0
8E5D7D3E-F3AC-445E-821A-BBB96AF42CDD,FHOK=1,29/10/2013,BONDO,WARIANDA COMMUNITY DEVELOPMENT,1=Comunity Meeting/Barazas,,18,16,16,13,IMPORTANCE OF LATRINE AND CONDOM USE,0,0,0,0,0,0
AE8A68BC-54F4-40E7-B8D5-BBBE716E8B1B,MSK=2,15/05/2013,BUSIA,BUSABAKHWA,2=Womens Group Meetings,,2,1,10,5,DEMONSTRATION ON IUCD,0,0,0,0,0,0
2970878B-E7A6-409B-9AB7-BBC207B5D506,MSK=2,02/04/2013,BUSIA,LWANYA,2=Refreshers,MISSING,15,4,10,6,FP,0,0,0,0,0,0
F5430FED-72BB-47B5-9866-BBC53C2E220C,MSK=2,05/02/2015,TESO NORTH,SOLIDARITY Y G,3=Youth Groups,,5,0,4,7,FP METHODS AND HIV/AIDS,0,0,0,0,0,0
229B2185-9E38-48FB-8E11-BBCC49D3F1AB,MSK=2,24/06/2014,BUTULA,BUSIRE,2=Womens Group Meetings,,0,0,14,0,FP,0,0,0,0,0,0
FCA816B1-BC76-497D-A1CC-BBCF960967AB,FHOK=1,28/07/2013,SIAYA,ALOYS HOMESTEAD,3=Youth Groups,,3,12,0,0,FAMILY PLANNING,0,0,0,0,0,0
021C7983-2935-4160-ABCA-BBD1796B07FF,FHOK=1,17/04/2015,SIAYA,ULUPI,1=Comunity Meeting/Barazas,,60,50,86,48,FP,0,0,0,0,0,0
F410ACE8-3232-426F-9B91-BBD17B73CB89,MSK=2,20/03/2014,BONDO,BARKANYANGO,2=Womens Group Meetings,,0,0,12,2,FAMILY PLANNING,0,0,0,0,0,0
09548163-2FCF-4D42-8863-BBD4F66795B4,MSK=2,09/06/2012,BUTULA,MARACHI EAST,3=Youth Groups,,0,21,0,39,IMPORTANCE OF CD,0,0,2,0,0,0
378430C1-B29B-4FA5-BE63-BBD7C314B494,FHOK=1,16/05/2014,BONDO,KA ISAIAH,2=Womens Group Meetings,,10,12,11,13,SAFE FOOD PREPARATION AND STORAGE,0,0,0,0,0,0
E7C1A418-672B-401F-B7EA-BBD8AE591BA3,MSK=2,24/08/2013,NAMBALE,MADENDE,2=Womens Group Meetings,,6,8,2,4,FAMILY PLANNING,0,0,0,0,0,0
A3002B91-5430-47B5-B0D8-BBD9338E7A93,MSK=2,06/05/2015,SIAYA,NANGA,3=Youth Groups,,12,14,8,10,PROPER USE OF CONDOMS,0,0,0,0,0,0
31889015-0A41-4289-BA45-BBD93A125E01,MSK=2,05-12-2014,SAMIA,,2=Womens Group Meetings,,2,4,10,18,LONG TERM METHODS OF FP,0,0,0,0,0,0
6A7D1EE0-E678-4D3A-99B2-BBDC206024D5,MSK=2,17/01/2015,TESO SOUTH,MISSING,2=Womens Group Meetings,,2,3,9,3,F/P,0,0,0,0,0,0
9D2EE3DA-16A3-4497-9FCC-BBE097955764,MSK=2,06/12/2014,TESO NORTH,KOOL,3=Youth Groups,,11,19,9,29,F/P,0,0,0,0,0,0
7349167F-3E8E-4990-AE00-BBEE3F6176E4,FHOK=1,15/08/2013,SIAYA,WOMEN GROUP MEETING,2=Womens Group Meetings,,6,5,25,20,FAMILY PLANNING,0,0,0,0,0,0
19C89671-7604-430E-896F-BBF4A956EC97,MSK=2,25-06-2014,SAMIA,MISSING,2=Womens Group Meetings,,0,0,0,0,F.P,0,0,0,0,0,0
B2F90D18-68B2-48A5-9DAC-BBFD10A50698,MSK=2,18/08/2014,SIAYA,MISSING,3=Youth Groups,,2,4,0,6,F.P,0,0,0,0,0,0
CBAA26AC-CCD0-443B-B153-BC009CE831B1,MSK=2,06/08/2013,BUTULA,MATSANZA VILLAGE,6=Other(Specify),,6,0,9,2,FP,0,0,0,0,0,0
185CADF1-B721-4DCA-AA00-BC05B92BDEA6,FHOK=1,27/05/2014,BONDO,KAMULUNGI,6=Other(Specify),,20,10,12,2,FP,0,0,0,0,0,0
AA72D3C2-AD9F-48B2-B6F8-BC14BD645B66,MSK=2,03/12/2013,BUSIA,BUSIBWABO DISPENASRY,6=Other(Specify),MISSING,5,4,17,11,SAFE WATER AND SANITATION,0,0,0,0,0,0
1C55CF11-49EE-408B-B616-BC19D9F11204,FHOK=1,21/05/2015,BONDO,CHRISTINES HOME,2=Womens Group Meetings,,10,3,10,5,FP,3,5,10,2,6,0
3800DFE4-305A-4D20-ADE7-BC1ED4891CF9,FHOK=1,19/09/2013,SIAYA,BAR ORIANG WOMEN GROUP,2=Womens Group Meetings,,0,0,0,0,IMPORTANCE OF FP AND LONGTERM METHODS,0,0,0,0,0,0
C966ABA0-0AF4-483E-B76A-BC21E1952B94,FHOK=1,27/01/2015,SIAYA,MISSING,1=Comunity Meeting/Barazas,,10,15,20,20,F/P,0,0,0,0,0,0
A8A65741-8129-4EF1-99F2-BC2A5DA2754D,MSK=2,24/05/2015,BUTULA,ACK,1=Comunity Meeting/Barazas,,52,18,78,20,CHOLERA,0,0,0,0,0,0
F1E48752-7FEF-49D5-8E95-BC2AFBF82C7A,FHOK=1,22/02/2015,SIAYA,NYAJUOK,1=Comunity Meeting/Barazas,,18,6,5,5,F/P,0,0,0,0,0,0
4B4118B3-00CE-4397-9016-BC2DCCD8DC3A,FHOK=1,21/08/2014,BONDO,UNDER THE TREE,1=Comunity Meeting/Barazas,,10,5,15,3,"BENEFITS OF FP,LATRINE USE AND ENVIROMENTAL CLEANLINESS",0,0,0,0,0,0
B75E4B36-501E-4E36-BB39-BC35DCC5514D,FHOK=1,19/10/2012,SIAYA,SOUTH ALEGO,1=Comunity Meeting/Barazas,,20,0,25,0,FAMILY PLANNING,0,0,0,0,0,0
867D9A6F-8207-45D5-81A3-BC370564702D,MSK=2,05/03/2014,TESO NORTH,MODING,2=Womens Group Meetings,,1,2,9,18,BTL,0,0,0,0,0,0
